               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.067285,            0.022354,            0.076379,             0.41728,             0.11657,            0.039751,            0.020736,            0.068656,            0.015267,            0.075443,            0.008812,            0.008812,            0.008812
                  38,            0.066285,            0.021917,             0.07675,             0.44647,             0.11842,            0.033526,            0.016566,            0.071764,            0.015228,               0.075,            0.008779,            0.008779,            0.008779
                  39,            0.067402,            0.022286,            0.075767,             0.39117,              0.1552,             0.02646,             0.01405,            0.069883,            0.015239,            0.075024,            0.008746,            0.008746,            0.008746
                  40,            0.066915,            0.022058,            0.076113,             0.61761,            0.077034,            0.034432,            0.018516,            0.068391,            0.015296,            0.075418,            0.008713,            0.008713,            0.008713
                  41,            0.066129,            0.022306,            0.076317,             0.46114,             0.12708,            0.030774,            0.017394,            0.068271,            0.015198,            0.075019,             0.00868,             0.00868,             0.00868
                  42,            0.066916,            0.022469,            0.075717,             0.38612,               0.118,            0.019432,            0.010668,            0.073553,            0.015145,            0.075711,            0.008647,            0.008647,            0.008647
                  43,            0.065394,            0.021857,            0.075074,             0.47825,             0.10002,            0.028058,            0.015416,            0.070202,            0.015937,            0.074993,            0.008614,            0.008614,            0.008614
                  44,            0.065589,            0.022452,            0.075941,             0.53994,            0.081333,            0.033192,            0.018805,            0.068453,             0.01559,            0.074868,            0.008581,            0.008581,            0.008581
                  45,            0.065286,            0.022536,            0.075677,             0.44409,              0.1202,            0.031383,            0.017198,            0.066473,              0.0151,            0.074827,            0.008548,            0.008548,            0.008548
                  46,            0.064432,            0.021692,             0.07543,             0.41175,             0.16419,            0.038573,            0.021245,            0.067963,             0.01496,            0.075103,            0.008515,            0.008515,            0.008515
                  47,            0.064087,            0.021549,            0.074867,             0.54461,            0.077942,            0.035146,            0.019961,             0.07006,            0.014786,            0.075182,            0.008482,            0.008482,            0.008482
                  48,            0.064699,            0.022028,            0.075182,             0.38922,             0.16868,            0.030219,            0.017098,            0.068065,            0.015522,            0.074886,            0.008449,            0.008449,            0.008449
                  49,            0.064097,            0.020964,             0.07457,             0.44034,             0.12392,            0.036451,            0.020643,            0.065696,            0.015243,             0.07442,            0.008416,            0.008416,            0.008416
                  50,            0.064677,            0.022152,            0.074032,             0.44407,              0.1247,            0.037593,            0.021521,            0.066308,            0.015216,            0.074603,            0.008383,            0.008383,            0.008383
                  51,            0.063647,            0.021844,            0.075198,             0.34877,             0.14478,            0.032362,            0.019324,            0.064692,            0.015162,            0.074349,             0.00835,             0.00835,             0.00835
                  52,            0.063718,            0.022293,            0.074206,              0.3836,             0.20539,            0.036102,            0.021466,            0.068172,            0.016103,            0.074927,            0.008317,            0.008317,            0.008317
                  53,             0.06393,             0.02196,            0.073991,             0.52579,            0.077231,            0.031373,            0.017974,            0.064951,            0.014936,            0.074097,            0.008284,            0.008284,            0.008284
                  54,            0.062023,            0.021361,            0.074582,             0.48351,            0.089188,            0.041507,             0.02244,             0.06471,            0.015179,            0.074402,            0.008251,            0.008251,            0.008251
                  55,            0.062316,            0.021287,            0.073904,             0.54791,            0.091403,            0.039493,            0.025272,            0.065298,            0.014706,            0.073632,            0.008218,            0.008218,            0.008218
                  56,            0.062974,            0.021344,            0.074085,             0.34645,             0.13678,            0.035331,            0.021068,            0.065647,            0.015227,            0.074383,            0.008185,            0.008185,            0.008185
                  57,            0.062588,            0.020986,            0.073073,             0.50723,             0.08731,            0.036801,            0.020444,            0.064174,            0.014576,            0.073753,            0.008152,            0.008152,            0.008152
                  58,            0.061481,            0.021679,            0.073746,              0.4392,            0.098999,            0.032058,            0.018178,            0.064606,            0.015052,            0.074528,            0.008119,            0.008119,            0.008119
                  59,            0.062445,            0.021197,            0.073682,             0.51022,            0.092562,            0.041672,            0.024837,             0.06489,            0.014713,            0.073845,            0.008086,            0.008086,            0.008086
                  60,            0.060644,            0.021685,            0.072711,             0.46198,            0.097008,            0.033776,              0.0192,            0.063678,            0.015133,            0.073464,            0.008053,            0.008053,            0.008053
                  61,             0.06076,            0.020628,            0.072852,             0.50684,             0.10004,            0.040857,            0.021799,            0.064305,            0.014793,            0.074057,             0.00802,             0.00802,             0.00802
                  62,            0.061432,            0.021192,            0.073727,             0.54622,            0.071331,            0.030169,            0.016891,             0.06663,            0.014886,            0.074066,            0.007987,            0.007987,            0.007987
                  63,            0.061531,            0.020668,            0.072997,             0.37553,             0.21909,            0.041062,            0.023545,            0.064696,            0.014432,            0.073687,            0.007954,            0.007954,            0.007954
                  64,             0.06029,            0.020868,            0.072419,             0.32939,             0.15663,            0.034691,            0.019806,            0.063757,            0.014679,            0.073931,            0.007921,            0.007921,            0.007921
                  65,            0.061467,            0.021025,            0.072506,             0.50971,             0.08676,            0.041619,            0.023657,            0.064209,            0.014688,            0.073407,            0.007888,            0.007888,            0.007888
                  66,            0.060448,            0.020696,            0.073538,             0.46821,             0.08432,            0.038781,            0.020852,             0.06334,            0.014667,            0.073524,            0.007855,            0.007855,            0.007855
                  67,            0.060765,            0.020368,            0.072511,             0.43779,            0.099379,            0.030216,            0.016557,            0.063247,            0.015198,            0.073858,            0.007822,            0.007822,            0.007822
                  68,            0.059265,            0.020481,             0.07213,             0.48948,            0.069115,            0.040127,            0.021285,            0.063902,            0.014956,             0.07371,            0.007789,            0.007789,            0.007789
                  69,            0.060035,            0.020958,            0.072085,             0.47546,             0.10952,            0.055667,            0.026278,            0.063552,            0.015043,            0.073026,            0.007756,            0.007756,            0.007756
                  70,            0.060094,            0.021533,             0.07156,             0.56523,            0.073595,            0.046661,            0.027179,            0.063787,            0.015304,            0.073649,            0.007723,            0.007723,            0.007723
                  71,            0.059299,            0.019936,            0.071862,              0.4061,            0.084568,            0.044888,            0.026245,            0.064182,            0.014812,            0.073343,             0.00769,             0.00769,             0.00769
                  72,            0.059982,             0.01973,            0.071742,             0.41815,             0.10354,            0.068743,            0.027874,             0.06469,            0.014616,             0.07275,            0.007657,            0.007657,            0.007657
